<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220323,23:00:00,1.0743400,1.0750500,1.0736500,1.0745800,58765
20220324,00:00:00,1.0746200,1.0754500,1.0743200,1.0751500,28474
20220324,01:00:00,1.0749800,1.0758600,1.0735500,1.0748700,8284
20220324,02:00:00,1.0749400,1.0754000,1.0739300,1.0745900,19886
20220324,03:00:00,1.0746000,1.0750100,1.0739000,1.0749200,34493
20220324,04:00:00,1.0748900,1.0754200,1.0741700,1.0751300,61880
20220324,05:00:00,1.0752900,1.0765700,1.0747100,1.0760800,71746
20220324,06:00:00,1.0762200,1.0766700,1.0756700,1.0760200,53679
20220324,07:00:00,1.0760300,1.0761100,1.0744000,1.0749000,47322
20220324,08:00:00,1.0747200,1.0752900,1.0739700,1.0743800,46842
20220324,09:00:00,1.0744500,1.0759100,1.0742300,1.0757700,53932
20220324,10:00:00,1.0758400,1.0759100,1.0747900,1.0751300,52843
20220324,11:00:00,1.0751200,1.0758800,1.0746200,1.0752800,71859
20220324,12:00:00,1.0752000,1.0759900,1.0746200,1.0750800,70939
20220324,13:00:00,1.0750400,1.0766600,1.0746200,1.0766200,52054
20220324,14:00:00,1.0766100,1.0776600,1.0761300,1.0774900,52938
20220324,15:00:00,1.0775600,1.0782800,1.0768300,1.0778000,72775
20220324,16:00:00,1.0776700,1.0780800,1.0765400,1.0775800,79827
20220324,17:00:00,1.0774100,1.0795800,1.0770400,1.0789400,95448
20220324,18:00:00,1.0787800,1.0797500,1.0781500,1.0793500,98716
20220324,19:00:00,1.0795400,1.0797000,1.0778200,1.0783600,112216
20220324,20:00:00,1.0783500,1.0796300,1.0778700,1.0794500,91021
20220324,21:00:00,1.0794500,1.0801400,1.0790500,1.0797400,60470
20220324,22:00:00,1.0801000,1.0805800,1.0791900,1.0797000,55826
20220324,23:00:00,1.0797600,1.0800000,1.0790600,1.0794900,45780
20220325,00:00:00,1.0794400,1.0795000,1.0777800,1.0784200,21154
20220325,01:00:00,1.0785100,1.0792700,1.0774800,1.0783000,5630
20220325,02:00:00,1.0788300,1.0796800,1.0780700,1.0795200,22070
20220325,03:00:00,1.0793900,1.0796000,1.0780200,1.0782000,28913
20220325,04:00:00,1.0783900,1.0790500,1.0776200,1.0779500,68538
20220325,05:00:00,1.0779900,1.0788100,1.0775000,1.0783900,91693
20220325,06:00:00,1.0782400,1.0789800,1.0778300,1.0782600,62793
20220325,07:00:00,1.0782800,1.0793500,1.0779500,1.0782900,59402
20220325,08:00:00,1.0782900,1.0784900,1.0772200,1.0780800,59049
20220325,09:00:00,1.0780800,1.0784800,1.0773200,1.0783000,52230
20220325,10:00:00,1.0783500,1.0788800,1.0776800,1.0781100,59730
20220325,11:00:00,1.0780000,1.0785500,1.0771500,1.0779300,67910
20220325,12:00:00,1.0779300,1.0787200,1.0774800,1.0783800,81261
20220325,13:00:00,1.0783700,1.0785800,1.0773000,1.0776900,68214
20220325,14:00:00,1.0776900,1.0785500,1.0773300,1.0778900,49137
20220325,15:00:00,1.0780300,1.0793200,1.0776600,1.0785200,52040
20220325,16:00:00,1.0785100,1.0792700,1.0781000,1.0790300,55522
20220325,17:00:00,1.0788600,1.0807200,1.0785700,1.0800200,109861
20220325,18:00:00,1.0800700,1.0809100,1.0789700,1.0791400,94811
20220325,19:00:00,1.0793300,1.0800900,1.0789100,1.0790500,115952
20220325,20:00:00,1.0792100,1.0801600,1.0786200,1.0796200,98686
20220325,21:00:00,1.0798200,1.0799700,1.0789600,1.0794500,66537
20220325,22:00:00,1.0796300,1.0802500,1.0792800,1.0796600,61594
20220325,23:00:00,1.0797100,1.0803100,1.0790400,1.0801100,59401
20220326,00:00:00,1.0802200,1.0804900,1.0771100,1.0790300,24527
20220326,01:00:00,1.0789800,1.0789800,1.0765000,1.0770400,20
20220326,02:00:00,1.0770400,1.0781300,1.0770400,1.0781300,13
20220327,20:00:00,1.0774000,1.0774000,1.0774000,1.0774000,10
20220328,00:00:00,1.0798700,1.0801700,1.0795100,1.0795200,20
20220328,01:00:00,1.0787500,1.0801400,1.0754900,1.0791700,12255
20220328,02:00:00,1.0795700,1.0808700,1.0755800,1.0805900,22308
20220328,03:00:00,1.0807800,1.0808100,1.0797600,1.0804700,35234
20220328,04:00:00,1.0805200,1.0807300,1.0794700,1.0800500,54474
20220328,05:00:00,1.0800600,1.0813200,1.0795500,1.0812000,89299
20220328,06:00:00,1.0812000,1.0820900,1.0806300,1.0815900,75785
20220328,07:00:00,1.0816400,1.0826900,1.0811000,1.0826100,39760
20220328,08:00:00,1.0826800,1.0841800,1.0818500,1.0834500,47069
20220328,09:00:00,1.0834500,1.0841400,1.0827800,1.0836400,56121
20220328,10:00:00,1.0836400,1.0842200,1.0827100,1.0829800,82597
20220328,11:00:00,1.0831000,1.0841300,1.0822500,1.0840300,99766
20220328,12:00:00,1.0840400,1.0851000,1.0835200,1.0838900,98331
20220328,13:00:00,1.0837000,1.0853200,1.0832000,1.0853000,74036
20220328,14:00:00,1.0853000,1.0853500,1.0835000,1.0844100,66710
20220328,15:00:00,1.0844200,1.0851200,1.0839400,1.0847000,63525
20220328,16:00:00,1.0847000,1.0855500,1.0843600,1.0850100,91450
20220328,17:00:00,1.0850100,1.0852400,1.0831200,1.0832000,121968
20220328,18:00:00,1.0834000,1.0843200,1.0828000,1.0840000,111850
20220328,19:00:00,1.0841500,1.0856600,1.0836400,1.0851600,107030
20220328,20:00:00,1.0851900,1.0859500,1.0846000,1.0858100,66953
20220328,21:00:00,1.0858100,1.0863800,1.0853100,1.0861600,57048
20220328,22:00:00,1.0861600,1.0874700,1.0858500,1.0873800,55094
20220328,23:00:00,1.0873800,1.0874500,1.0852500,1.0859100,60830
20220329,00:00:00,1.0859100,1.0866700,1.0846600,1.0859100,23400
20220329,01:00:00,1.0859000,1.0876300,1.0849700,1.0857300,10328
20220329,02:00:00,1.0860200,1.0864500,1.0852900,1.0858400,19217
20220329,03:00:00,1.0858400,1.0865800,1.0849800,1.0855600,31486
20220329,04:00:00,1.0856300,1.0858900,1.0834700,1.0848800,82313
20220329,05:00:00,1.0849600,1.0856800,1.0844800,1.0849900,74301
20220329,06:00:00,1.0850500,1.0854800,1.0844800,1.0850000,60165
20220329,07:00:00,1.0849300,1.0852000,1.0839500,1.0845600,59662
20220329,08:00:00,1.0845900,1.0852400,1.0842000,1.0849800,49506
20220329,09:00:00,1.0850100,1.0863600,1.0844800,1.0861000,57350
20220329,10:00:00,1.0860900,1.0876100,1.0854200,1.0870200,80128
20220329,11:00:00,1.0871200,1.0881400,1.0869400,1.0878500,82447
20220329,12:00:00,1.0877100,1.0884800,1.0866500,1.0875500,72197
20220329,13:00:00,1.0875500,1.0885100,1.0869700,1.0879300,90882
20220329,14:00:00,1.0881400,1.0882300,1.0861400,1.0866000,65358
20220329,15:00:00,1.0866000,1.0871000,1.0855100,1.0859400,99896
20220329,16:00:00,1.0859400,1.0863500,1.0833500,1.0843300,142327
20220329,17:00:00,1.0843900,1.0851600,1.0834100,1.0839600,122624
20220329,18:00:00,1.0835400,1.0855900,1.0830800,1.0838200,150971
20220329,19:00:00,1.0836700,1.0841200,1.0825000,1.0833200,98177
20220329,20:00:00,1.0835200,1.0838700,1.0819200,1.0822200,75585
20220329,21:00:00,1.0822200,1.0824800,1.0812600,1.0818800,62031
20220329,22:00:00,1.0819800,1.0826200,1.0813200,1.0817000,49481
20220329,23:00:00,1.0817900,1.0827200,1.0813000,1.0823300,52957
20220330,00:00:00,1.0823700,1.0827100,1.0812700,1.0823600,22709
20220330,01:00:00,1.0823200,1.0829700,1.0811100,1.0821900,9232
20220330,02:00:00,1.0821900,1.0834600,1.0816300,1.0831400,21402
20220330,03:00:00,1.0831900,1.0834500,1.0820200,1.0822100,35983
20220330,04:00:00,1.0823300,1.0826000,1.0802900,1.0807200,71265
20220330,05:00:00,1.0807200,1.0810400,1.0794700,1.0798000,95253
20220330,06:00:00,1.0798000,1.0800300,1.0787200,1.0797900,74035
20220330,07:00:00,1.0797900,1.0802800,1.0785700,1.0802400,64067
20220330,08:00:00,1.0800500,1.0810100,1.0796800,1.0808300,46614
20220330,09:00:00,1.0808500,1.0814800,1.0803300,1.0810300,60120
20220330,10:00:00,1.0812000,1.0815600,1.0799900,1.0810500,86041
20220330,11:00:00,1.0810200,1.0812000,1.0787400,1.0795500,94125
20220330,12:00:00,1.0796000,1.0800900,1.0767800,1.0772700,78522
20220330,13:00:00,1.0772700,1.0773800,1.0755200,1.0767200,65685
20220330,14:00:00,1.0767200,1.0781000,1.0763500,1.0778500,74966
20220330,15:00:00,1.0779100,1.0784300,1.0765300,1.0767200,66913
20220330,16:00:00,1.0767200,1.0781100,1.0729800,1.0773100,93507
20220330,17:00:00,1.0773100,1.0784100,1.0767300,1.0771000,103156
20220330,18:00:00,1.0771700,1.0772400,1.0755700,1.0763300,115347
20220330,19:00:00,1.0763600,1.0770400,1.0751400,1.0759900,104836
20220330,20:00:00,1.0759300,1.0767200,1.0754200,1.0762500,77118
20220330,21:00:00,1.0764500,1.0767100,1.0754500,1.0761400,71690
20220330,22:00:00,1.0763600,1.0767100,1.0757700,1.0764100,44585
20220330,23:00:00,1.0764600,1.0771800,1.0759100,1.0767900,62133
20220331,00:00:00,1.0767400,1.0774500,1.0748800,1.0760000,17813
20220331,01:00:00,1.0760400,1.0767800,1.0753600,1.0765300,5310
20220331,02:00:00,1.0767600,1.0772000,1.0757800,1.0765100,20205
20220331,03:00:00,1.0765100,1.0765800,1.0754600,1.0761700,38545
20220331,04:00:00,1.0761800,1.0788600,1.0754600,1.0767200,107254
20220331,05:00:00,1.0768700,1.0772600,1.0758200,1.0762700,74038
20220331,06:00:00,1.0763600,1.0770000,1.0758800,1.0766100,55897
20220331,07:00:00,1.0766100,1.0769300,1.0755800,1.0760100,60198
20220331,08:00:00,1.0760600,1.0762600,1.0753700,1.0758500,48228
20220331,09:00:00,1.0758500,1.0765500,1.0754400,1.0761000,58267
20220331,10:00:00,1.0762400,1.0768500,1.0754900,1.0763800,94434
20220331,11:00:00,1.0763800,1.0769400,1.0754400,1.0768800,89113
20220331,12:00:00,1.0768800,1.0782700,1.0763500,1.0780800,75835
20220331,13:00:00,1.0780500,1.0798700,1.0774700,1.0792600,70295
20220331,14:00:00,1.0793900,1.0801900,1.0788400,1.0795500,69093
20220331,15:00:00,1.0795200,1.0803100,1.0788900,1.0794900,65603
20220331,16:00:00,1.0794900,1.0801300,1.0783000,1.0799700,78702
20220331,17:00:00,1.0799400,1.0805600,1.0787900,1.0794400,123047
20220331,18:00:00,1.0794700,1.0804800,1.0783200,1.0794500,132934
20220331,19:00:00,1.0794500,1.0802900,1.0786800,1.0795500,109425
20220331,20:00:00,1.0795500,1.0813600,1.0792600,1.0811600,67202
20220331,21:00:00,1.0811600,1.0812000,1.0794900,1.0797900,71715
