<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210101,01:00:00,1.0180100,1.0190900,1.0142000,1.0163800,1612
20210101,02:00:00,1.0164000,1.0164000,1.0146000,1.0164000,731
20210101,03:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,04:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,05:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,06:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,07:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,08:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,09:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,10:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,11:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,12:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,13:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,14:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,15:00:00,1.0164000,1.0164000,1.0149000,1.0164000,731
20210101,16:00:00,1.0164000,1.0170000,1.0149000,1.0164000,732
20210101,17:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,18:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,19:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,20:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,21:00:00,1.0164000,1.0164000,1.0160000,1.0164000,732
20210101,22:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210101,23:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210102,00:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210102,01:00:00,1.0164000,1.0164000,1.0149000,1.0164000,732
20210102,02:00:00,1.0153000,1.0164000,1.0149000,1.0164000,611
20210102,03:00:00,1.0149000,1.0149000,1.0144000,1.0144000,9
20210103,21:00:00,1.0147000,1.0147000,1.0147000,1.0147000,1
20210103,23:00:00,1.0166000,1.0166000,1.0166000,1.0166000,4
20210104,00:00:00,1.0164000,1.0172000,1.0164000,1.0172000,9
20210104,01:00:00,1.0169000,1.0169000,1.0157000,1.0162000,19
20210104,02:00:00,1.0164000,1.0177700,1.0129400,1.0167000,1266
20210104,03:00:00,1.0172600,1.0189900,1.0141000,1.0182300,3004
20210104,04:00:00,1.0182100,1.0184200,1.0128000,1.0148500,2995
20210104,05:00:00,1.0148600,1.0181800,1.0133000,1.0181200,3481
20210104,06:00:00,1.0181000,1.0181800,1.0146000,1.0166200,3246
20210104,07:00:00,1.0166100,1.0170700,1.0143000,1.0165000,2890
20210104,08:00:00,1.0164300,1.0165000,1.0129000,1.0147700,2606
20210104,09:00:00,1.0147000,1.0153300,1.0120000,1.0151900,2972
20210104,10:00:00,1.0152300,1.0162200,1.0137000,1.0160700,3055
20210104,11:00:00,1.0160900,1.0184200,1.0145000,1.0171100,3011
20210104,12:00:00,1.0171500,1.0184300,1.0151000,1.0183200,3695
20210104,13:00:00,1.0182700,1.0187700,1.0159000,1.0180700,3277
20210104,14:00:00,1.0180600,1.0190500,1.0160000,1.0175800,2938
20210104,15:00:00,1.0177600,1.0183500,1.0150000,1.0169000,2842
20210104,16:00:00,1.0169100,1.0172800,1.0143000,1.0162300,3177
20210104,17:00:00,1.0162300,1.0177600,1.0143000,1.0169500,3483
20210104,18:00:00,1.0169400,1.0173900,1.0135000,1.0154300,4222
20210104,19:00:00,1.0155100,1.0156900,1.0113000,1.0135200,4602
20210104,20:00:00,1.0134900,1.0138500,1.0096000,1.0113300,4184
20210104,21:00:00,1.0112900,1.0118100,1.0088000,1.0116600,4398
20210104,22:00:00,1.0116600,1.0124000,1.0095000,1.0122700,3341
20210104,23:00:00,1.0122700,1.0125400,1.0099000,1.0121400,3340
20210105,00:00:00,1.0120600,1.0123800,1.0094000,1.0119500,3602
20210105,01:00:00,1.0119000,1.0124900,1.0097000,1.0121000,1674
20210105,02:00:00,1.0117000,1.0123300,1.0075200,1.0117200,1421
20210105,03:00:00,1.0118800,1.0128000,1.0099000,1.0126400,2578
20210105,04:00:00,1.0125900,1.0126500,1.0098000,1.0120800,2946
20210105,05:00:00,1.0120800,1.0135900,1.0103000,1.0126300,3013
20210105,06:00:00,1.0126400,1.0147900,1.0109000,1.0144900,2887
20210105,07:00:00,1.0144900,1.0157200,1.0128000,1.0151000,3110
20210105,08:00:00,1.0151000,1.0160100,1.0132000,1.0157400,2956
20210105,09:00:00,1.0156800,1.0168500,1.0139000,1.0165100,2939
20210105,10:00:00,1.0164900,1.0172200,1.0140000,1.0169300,2863
20210105,11:00:00,1.0166400,1.0182000,1.0144000,1.0163700,3140
20210105,12:00:00,1.0164300,1.0175700,1.0147000,1.0170700,3708
20210105,13:00:00,1.0170100,1.0181900,1.0153000,1.0174100,3268
20210105,14:00:00,1.0174200,1.0176400,1.0151000,1.0172000,2829
20210105,15:00:00,1.0171500,1.0177500,1.0145000,1.0166000,3078
20210105,16:00:00,1.0165900,1.0167400,1.0133000,1.0158900,3518
20210105,17:00:00,1.0158800,1.0163600,1.0131000,1.0148000,3731
20210105,18:00:00,1.0148300,1.0178100,1.0135000,1.0168500,4217
20210105,19:00:00,1.0166700,1.0189700,1.0147000,1.0185100,4697
20210105,20:00:00,1.0185600,1.0220400,1.0167000,1.0212800,4216
20210105,21:00:00,1.0212700,1.0228700,1.0202000,1.0228700,3627
20210105,22:00:00,1.0228200,1.0234400,1.0210000,1.0232700,2902
20210105,23:00:00,1.0232200,1.0243700,1.0213000,1.0235800,2555
20210106,00:00:00,1.0236200,1.0241200,1.0212000,1.0232000,2669
20210106,01:00:00,1.0231700,1.0234900,1.0204000,1.0223500,1637
20210106,02:00:00,1.0220200,1.0223300,1.0183600,1.0214400,1389
20210106,03:00:00,1.0214200,1.0229700,1.0198000,1.0226000,2394
20210106,04:00:00,1.0226500,1.0233000,1.0204000,1.0223700,3473
20210106,05:00:00,1.0224300,1.0230700,1.0198000,1.0221200,4146
20210106,06:00:00,1.0219700,1.0225700,1.0188000,1.0206000,3452
20210106,07:00:00,1.0205500,1.0227700,1.0190000,1.0222700,3247
20210106,08:00:00,1.0222600,1.0250600,1.0204000,1.0234300,3298
20210106,09:00:00,1.0233900,1.0246500,1.0219000,1.0241800,2692
20210106,10:00:00,1.0241900,1.0258200,1.0224000,1.0256500,2753
20210106,11:00:00,1.0256700,1.0268800,1.0244000,1.0266200,3554
20210106,12:00:00,1.0265800,1.0267500,1.0237000,1.0260000,3964
20210106,13:00:00,1.0260900,1.0280700,1.0244000,1.0277900,3665
20210106,14:00:00,1.0277000,1.0290100,1.0258000,1.0282000,3411
20210106,15:00:00,1.0282000,1.0286600,1.0253000,1.0272200,3506
20210106,16:00:00,1.0272000,1.0281000,1.0243000,1.0261100,3853
20210106,17:00:00,1.0260600,1.0271200,1.0237000,1.0256400,4019
20210106,18:00:00,1.0256300,1.0260600,1.0226000,1.0255100,4902
20210106,19:00:00,1.0255000,1.0264800,1.0236000,1.0258700,4839
20210106,20:00:00,1.0258800,1.0275600,1.0238000,1.0274400,4421
20210106,21:00:00,1.0274400,1.0282800,1.0254000,1.0279900,3745
20210106,22:00:00,1.0280200,1.0284800,1.0259000,1.0282000,3376
20210106,23:00:00,1.0280500,1.0283900,1.0250000,1.0271300,4491
20210107,00:00:00,1.0270800,1.0278300,1.0252000,1.0276000,4591
20210107,01:00:00,1.0273600,1.0292000,1.0261000,1.0282800,2045
20210107,02:00:00,1.0278000,1.0290400,1.0247400,1.0285400,1381
20210107,03:00:00,1.0286300,1.0298500,1.0270000,1.0295700,2260
20210107,04:00:00,1.0295200,1.0296200,1.0248000,1.0271400,3297
20210107,05:00:00,1.0271500,1.0281800,1.0251000,1.0281200,3192
20210107,06:00:00,1.0281500,1.0284200,1.0257000,1.0281200,3068
20210107,07:00:00,1.0281200,1.0285400,1.0259000,1.0278200,2407
20210107,08:00:00,1.0278600,1.0282100,1.0256000,1.0274100,2535
20210107,09:00:00,1.0274100,1.0276600,1.0244000,1.0260400,2528
20210107,10:00:00,1.0260600,1.0271500,1.0241000,1.0268900,2727
20210107,11:00:00,1.0269100,1.0276000,1.0248000,1.0269200,3232
20210107,12:00:00,1.0268700,1.0269700,1.0233000,1.0255000,3872
20210107,13:00:00,1.0255100,1.0261800,1.0233000,1.0251400,3939
20210107,14:00:00,1.0251800,1.0260200,1.0232000,1.0256500,3780
20210107,15:00:00,1.0256500,1.0260400,1.0230000,1.0249600,3637
20210107,16:00:00,1.0249800,1.0262800,1.0230000,1.0262600,3335
20210107,17:00:00,1.0262400,1.0265100,1.0233000,1.0250700,3738
20210107,18:00:00,1.0249200,1.0261200,1.0222000,1.0242300,4279
20210107,19:00:00,1.0244900,1.0271100,1.0230000,1.0269400,4633
20210107,20:00:00,1.0269500,1.0283500,1.0250000,1.0281700,3704
20210107,21:00:00,1.0280600,1.0281200,1.0249000,1.0270800,3440
20210107,22:00:00,1.0270600,1.0278300,1.0252000,1.0276400,3101
20210107,23:00:00,1.0276300,1.0285500,1.0260000,1.0282100,2764
20210108,00:00:00,1.0281800,1.0293500,1.0261000,1.0291800,3047
20210108,01:00:00,1.0291800,1.0297200,1.0268000,1.0287500,2023
20210108,02:00:00,1.0284500,1.0285400,1.0247100,1.0277000,1393
20210108,03:00:00,1.0277500,1.0292300,1.0265000,1.0286800,2092
20210108,04:00:00,1.0287000,1.0292300,1.0260000,1.0280200,3025
20210108,05:00:00,1.0281300,1.0293600,1.0260000,1.0283100,3659
20210108,06:00:00,1.0283000,1.0288600,1.0259000,1.0281000,3039
20210108,07:00:00,1.0280900,1.0293400,1.0264000,1.0288600,2821
20210108,08:00:00,1.0288300,1.0295800,1.0267000,1.0290800,2352
20210108,09:00:00,1.0290900,1.0304700,1.0273000,1.0300900,2704
20210108,10:00:00,1.0301000,1.0310000,1.0278000,1.0308000,2792
20210108,11:00:00,1.0307600,1.0314600,1.0276000,1.0293800,3195
20210108,12:00:00,1.0294000,1.0301800,1.0270000,1.0293200,4175
20210108,13:00:00,1.0293600,1.0307100,1.0269000,1.0304000,3695
20210108,14:00:00,1.0304400,1.0304800,1.0278000,1.0299400,3125
20210108,15:00:00,1.0299500,1.0311200,1.0280000,1.0309500,2999
20210108,16:00:00,1.0310200,1.0310300,1.0284000,1.0301400,3197
20210108,17:00:00,1.0301600,1.0304300,1.0269100,1.0298200,4351
20210108,18:00:00,1.0298400,1.0305200,1.0262000,1.0280400,4947
20210108,19:00:00,1.0279400,1.0294300,1.0251000,1.0290200,4877
20210108,20:00:00,1.0290200,1.0299300,1.0266000,1.0292600,4807
20210108,21:00:00,1.0292400,1.0298500,1.0268000,1.0285800,4306
20210108,22:00:00,1.0285900,1.0290900,1.0245000,1.0271300,4475
20210108,23:00:00,1.0271300,1.0281400,1.0256000,1.0276000,3949
20210109,00:00:00,1.0275900,1.0284500,1.0259000,1.0282200,3309
20210109,01:00:00,1.0282100,1.0293800,1.0262000,1.0293000,1802
20210109,02:00:00,1.0293000,1.0293000,1.0276000,1.0293000,730
20210109,03:00:00,1.0276000,1.0276000,1.0276000,1.0276000,6
20210110,23:00:00,1.0265400,1.0265400,1.0265400,1.0265400,1
20210111,00:00:00,1.0270000,1.0274000,1.0266000,1.0272000,12
20210111,01:00:00,1.0267000,1.0269500,1.0258900,1.0258900,21
20210111,02:00:00,1.0293000,1.0293000,1.0231500,1.0273200,1010
20210111,03:00:00,1.0273200,1.0286900,1.0229000,1.0257400,3286
20210111,04:00:00,1.0257100,1.0267100,1.0233000,1.0253500,3043
20210111,05:00:00,1.0253500,1.0258300,1.0229000,1.0250200,3317
20210111,06:00:00,1.0250100,1.0260500,1.0226000,1.0258900,3239
20210111,07:00:00,1.0259100,1.0261600,1.0235000,1.0253400,2911
20210111,08:00:00,1.0253400,1.0258800,1.0228000,1.0248000,2977
20210111,09:00:00,1.0246900,1.0250500,1.0225000,1.0247000,2869
20210111,10:00:00,1.0246800,1.0249900,1.0223000,1.0243600,3085
20210111,11:00:00,1.0244200,1.0250100,1.0224000,1.0245100,3415
20210111,12:00:00,1.0245200,1.0260700,1.0229000,1.0249600,3750
20210111,13:00:00,1.0250000,1.0261600,1.0233000,1.0253100,3557
20210111,14:00:00,1.0253100,1.0266100,1.0236000,1.0259200,3069
20210111,15:00:00,1.0259200,1.0260500,1.0229000,1.0250500,2810
20210111,16:00:00,1.0250800,1.0253900,1.0224000,1.0253200,3271
20210111,17:00:00,1.0252000,1.0253100,1.0206000,1.0225100,4007
