<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220101,00:05:00,85.1540000,85.1540000,85.1540000,85.1540000,1
20220101,00:10:00,85.1730000,85.1730000,85.1730000,85.1730000,1
20220101,00:15:00,85.2540000,85.2540000,85.2540000,85.2540000,1
20220101,00:20:00,85.2440000,85.2440000,85.2440000,85.2440000,1
20220101,00:25:00,85.2120000,85.2120000,85.2120000,85.2120000,1
20220101,00:30:00,85.2160000,85.2160000,85.2160000,85.2160000,1
20220101,00:35:00,85.3430000,85.3430000,85.3430000,85.3430000,1
20220101,00:40:00,85.4390000,85.4390000,85.4390000,85.4390000,1
20220101,00:45:00,85.4320000,85.4320000,85.4320000,85.4320000,1
20220101,00:50:00,85.4340000,85.4340000,85.4340000,85.4340000,1
20220101,00:55:00,85.2060000,85.2060000,85.2060000,85.2060000,1
20220101,01:00:00,85.4540000,85.4540000,85.4540000,85.4540000,1
20220101,01:05:00,85.3770000,85.3770000,85.3770000,85.3770000,1
20220101,01:10:00,85.3770000,85.3770000,85.3770000,85.3770000,1
20220101,01:15:00,85.3770000,85.3770000,85.3770000,85.3770000,1
20220101,01:20:00,85.3770000,85.3770000,85.3770000,85.3770000,1
20220101,01:25:00,85.3770000,85.3770000,85.3770000,85.3770000,1
20220101,01:30:00,85.3770000,85.3770000,85.3770000,85.3770000,1
20220102,20:05:00,85.1490000,85.1490000,85.1490000,85.1490000,1
20220102,20:10:00,85.1490000,85.1490000,85.1490000,85.1490000,1
20220102,20:15:00,85.1490000,85.1490000,85.1490000,85.1490000,1
20220102,20:20:00,85.1490000,85.1490000,85.1490000,85.1490000,1
20220102,20:25:00,85.1490000,85.1490000,85.1490000,85.1490000,1
20220102,20:30:00,85.1490000,85.1490000,85.1490000,85.1490000,1
20220102,23:05:00,85.1920000,85.1920000,85.1920000,85.1920000,1
20220102,23:10:00,85.5300000,85.5300000,85.5300000,85.5300000,1
20220102,23:15:00,85.5300000,85.5300000,85.5300000,85.5300000,1
20220102,23:20:00,85.5300000,85.5300000,85.5300000,85.5300000,1
20220102,23:25:00,85.5300000,85.5300000,85.5300000,85.5300000,1
20220102,23:30:00,85.5420000,85.5420000,85.5420000,85.5420000,1
20220102,23:35:00,85.5380000,85.5380000,85.5380000,85.5380000,1
20220102,23:40:00,85.5380000,85.5380000,85.5380000,85.5380000,1
20220102,23:45:00,85.5380000,85.5380000,85.5380000,85.5380000,1
20220102,23:50:00,85.5380000,85.5380000,85.5380000,85.5380000,1
20220102,23:55:00,85.5380000,85.5380000,85.5380000,85.5380000,1
20220103,00:00:00,85.5380000,85.5380000,85.5380000,85.5380000,1
20220103,01:05:00,85.3921000,85.3921000,85.0350000,85.0350000,2
20220103,01:10:00,84.9980000,84.9980000,84.9980000,84.9980000,1
20220103,01:15:00,85.0280000,85.0280000,85.0280000,85.0280000,1
20220103,01:20:00,85.0410000,85.0410000,85.0410000,85.0410000,1
20220103,01:35:00,85.0052000,85.0201000,84.9977000,85.0201000,9
20220103,01:40:00,85.0052000,85.0740000,85.0052000,85.0127000,10
20220103,01:45:00,85.0127000,85.0770000,85.0127000,85.0127000,10
20220103,01:50:00,85.0201000,85.0710000,85.0127000,85.0201000,11
20220103,01:55:00,85.0127000,85.2390000,85.0127000,85.0127000,5
20220103,02:00:00,85.0127000,85.2400000,85.0127000,85.0127000,6
20220103,02:05:00,84.9977000,85.1350000,84.9977000,85.0426000,10
20220103,02:10:00,85.0426000,85.2200000,85.0426000,85.2200000,2
20220103,02:15:00,84.9760000,84.9760000,84.9760000,84.9760000,1
20220103,02:20:00,84.9840000,84.9840000,84.9840000,84.9840000,1
20220103,02:25:00,84.9680000,84.9680000,84.9680000,84.9680000,1
20220103,02:30:00,84.9780000,84.9780000,84.9780000,84.9780000,1
20220103,02:35:00,84.9680000,84.9680000,84.9680000,84.9680000,1
20220103,02:40:00,84.9760000,84.9760000,84.9760000,84.9760000,1
20220103,02:45:00,85.0930000,85.0930000,85.0930000,85.0930000,1
20220103,02:50:00,85.0820000,85.0820000,85.0820000,85.0820000,1
20220103,02:55:00,85.0780000,85.0780000,85.0780000,85.0780000,1
20220103,03:00:00,85.0930000,85.0930000,85.0930000,85.0930000,1
20220103,03:05:00,84.9760000,84.9760000,84.9760000,84.9760000,1
20220103,03:10:00,85.1030000,85.1030000,85.1030000,85.1030000,1
20220103,03:15:00,85.0880000,85.0880000,85.0880000,85.0880000,1
20220103,03:20:00,84.9570000,84.9570000,84.9570000,84.9570000,1
20220103,03:25:00,84.9410000,84.9410000,84.9410000,84.9410000,1
20220103,03:30:00,85.0490000,85.0490000,85.0490000,85.0490000,1
20220103,03:35:00,84.9430000,84.9430000,84.9430000,84.9430000,1
20220103,03:40:00,84.9120000,84.9120000,84.9120000,84.9120000,1
20220103,03:45:00,84.8920000,84.8920000,84.8920000,84.8920000,1
20220103,03:50:00,84.8870000,84.8870000,84.8870000,84.8870000,1
20220103,03:55:00,84.8880000,84.8880000,84.8880000,84.8880000,1
20220103,04:00:00,84.8910000,84.8910000,84.8910000,84.8910000,1
20220103,04:05:00,84.9030000,84.9030000,84.9030000,84.9030000,1
20220103,04:10:00,84.9090000,84.9090000,84.9090000,84.9090000,1
20220103,04:15:00,84.9020000,84.9020000,84.9020000,84.9020000,1
20220103,04:20:00,84.9290000,84.9290000,84.9290000,84.9290000,1
20220103,04:25:00,84.9180000,84.9180000,84.9180000,84.9180000,1
20220103,04:30:00,84.9010000,84.9010000,84.9010000,84.9010000,1
20220103,04:35:00,84.8690000,84.8690000,84.8690000,84.8690000,1
20220103,04:40:00,84.8590000,84.8590000,84.8590000,84.8590000,1
20220103,04:45:00,84.8380000,84.8380000,84.8380000,84.8380000,1
20220103,04:50:00,84.8460000,84.8460000,84.8460000,84.8460000,1
20220103,04:55:00,84.9150000,84.9150000,84.9150000,84.9150000,1
20220103,05:00:00,84.9270000,84.9270000,84.9270000,84.9270000,1
20220103,05:05:00,84.9680000,84.9680000,84.9680000,84.9680000,1
20220103,05:10:00,84.9370000,84.9370000,84.9370000,84.9370000,1
20220103,05:15:00,84.9190000,84.9190000,84.9190000,84.9190000,1
20220103,05:20:00,84.8050000,84.8050000,84.8050000,84.8050000,1
20220103,05:25:00,84.8010000,84.8010000,84.8010000,84.8010000,1
20220103,05:30:00,84.7820000,84.7820000,84.7820000,84.7820000,1
20220103,05:35:00,84.7850000,84.7850000,84.7850000,84.7850000,1
20220103,05:40:00,84.7780000,84.7780000,84.7780000,84.7780000,1
20220103,05:45:00,84.7870000,84.7870000,84.7870000,84.7870000,1
20220103,05:50:00,84.7890000,84.7890000,84.7890000,84.7890000,1
20220103,05:55:00,84.7790000,84.7790000,84.7790000,84.7790000,1
20220103,06:00:00,84.7570000,84.7570000,84.7570000,84.7570000,1
20220103,06:05:00,84.9640000,84.9640000,84.9640000,84.9640000,1
20220103,06:10:00,85.0250000,85.0250000,85.0250000,85.0250000,1
20220103,06:15:00,85.0110000,85.0110000,85.0110000,85.0110000,1
20220103,06:20:00,85.0200000,85.0200000,85.0200000,85.0200000,1
20220103,06:25:00,85.0180000,85.0180000,85.0180000,85.0180000,1
20220103,06:30:00,84.8860000,84.8860000,84.8860000,84.8860000,1
20220103,06:35:00,84.8810000,84.8810000,84.8810000,84.8810000,1
20220103,06:40:00,84.8790000,84.8790000,84.8790000,84.8790000,1
20220103,06:45:00,84.9020000,84.9020000,84.9020000,84.9020000,1
20220103,06:50:00,84.9230000,84.9230000,84.9230000,84.9230000,1
20220103,06:55:00,85.0090000,85.0090000,85.0090000,85.0090000,1
20220103,07:00:00,84.9400000,84.9400000,84.9400000,84.9400000,1
20220103,07:05:00,84.7420000,84.9280000,84.6960000,84.9100000,3162
20220103,07:10:00,84.9100000,85.0230000,84.8798000,85.0220000,848
20220103,07:15:00,85.0220000,85.1490000,84.9746000,85.1434000,969
20220103,07:20:00,85.1460000,85.2090000,85.0555000,85.1880000,1079
20220103,07:25:00,85.1880000,85.2210000,85.1415000,85.2010000,2255
20220103,07:30:00,85.2010000,85.2150000,85.1333000,85.1890000,1277
20220103,07:35:00,85.1890000,85.2280000,85.1715000,85.2070000,611
20220103,07:40:00,85.2070000,85.2876000,85.0340000,85.2465000,618
20220103,07:45:00,85.2465000,85.2989000,85.1360000,85.2805000,229
20220103,07:50:00,85.2805000,85.2870000,85.1360000,85.2635000,375
20220103,07:55:00,85.2650000,85.2809000,85.0680000,85.2050000,241
20220103,08:00:00,85.2050000,85.2270000,85.0680000,85.1930000,424
20220103,08:05:00,85.1955000,85.2000000,85.0680000,85.1870000,380
20220103,08:10:00,85.1870000,85.2222000,85.1567000,85.1693000,251
20220103,08:15:00,85.2040000,85.2210000,85.1673000,85.2050000,258
20220103,08:20:00,85.2040000,85.2098000,85.0340000,85.1700000,350
20220103,08:25:00,85.1700000,85.1800000,85.0340000,85.1800000,395
