<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220413,01:00:00,1.0826900,1.0830000,1.0823700,1.0827600,10121
20220413,02:00:00,1.0826700,1.0831300,1.0824000,1.0827000,22158
20220413,03:00:00,1.0827800,1.0828600,1.0822000,1.0825700,19521
20220413,04:00:00,1.0826000,1.0829300,1.0810000,1.0815600,50458
20220413,05:00:00,1.0815500,1.0830800,1.0812000,1.0829700,51433
20220413,06:00:00,1.0829900,1.0838700,1.0826000,1.0834000,59288
20220413,07:00:00,1.0834200,1.0840800,1.0831000,1.0837200,41560
20220413,08:00:00,1.0837000,1.0839000,1.0827000,1.0833100,36405
20220413,09:00:00,1.0833000,1.0843900,1.0828000,1.0843600,45233
20220413,10:00:00,1.0843400,1.0844800,1.0819000,1.0821800,108170
20220413,11:00:00,1.0821800,1.0840100,1.0813000,1.0837000,102716
20220413,12:00:00,1.0837800,1.0839000,1.0825000,1.0836500,82872
20220413,13:00:00,1.0836700,1.0837000,1.0823000,1.0834600,73378
20220413,14:00:00,1.0834800,1.0835600,1.0821000,1.0826400,61537
20220413,15:00:00,1.0826600,1.0848000,1.0824000,1.0830400,95882
20220413,16:00:00,1.0830600,1.0834800,1.0814000,1.0817900,118676
20220413,17:00:00,1.0817100,1.0827300,1.0807000,1.0816900,129783
20220413,18:00:00,1.0816900,1.0848800,1.0813000,1.0846600,124717
20220413,19:00:00,1.0847400,1.0873700,1.0843000,1.0870000,104318
20220413,20:00:00,1.0870900,1.0894300,1.0870900,1.0881700,92651
20220413,21:00:00,1.0882000,1.0886000,1.0872000,1.0874600,72229
20220413,22:00:00,1.0874800,1.0887100,1.0870000,1.0885600,61406
20220413,23:00:00,1.0885200,1.0891000,1.0881000,1.0882700,49500
20220414,00:00:00,1.0883000,1.0892800,1.0882000,1.0886100,17810
20220414,01:00:00,1.0890100,1.0892400,1.0881300,1.0888900,10798
20220414,02:00:00,1.0888800,1.0892800,1.0885000,1.0888900,23501
20220414,03:00:00,1.0889500,1.0897400,1.0887000,1.0894800,25140
20220414,04:00:00,1.0894800,1.0900000,1.0881000,1.0884700,59520
20220414,05:00:00,1.0884300,1.0908900,1.0881000,1.0905800,62993
20220414,06:00:00,1.0905500,1.0908200,1.0900000,1.0902000,48526
20220414,07:00:00,1.0901200,1.0909400,1.0900000,1.0906800,39217
20220414,08:00:00,1.0906800,1.0913000,1.0902000,1.0912200,32909
20220414,09:00:00,1.0911500,1.0918200,1.0908000,1.0909500,37532
20220414,10:00:00,1.0910400,1.0923500,1.0908000,1.0917500,62043
20220414,11:00:00,1.0918000,1.0919800,1.0902000,1.0908200,88913
20220414,12:00:00,1.0908000,1.0912600,1.0901000,1.0908000,60273
20220414,13:00:00,1.0908000,1.0918000,1.0900000,1.0913800,57602
20220414,14:00:00,1.0913600,1.0917400,1.0899000,1.0905300,55794
20220414,15:00:00,1.0905300,1.0917100,1.0862000,1.0864900,120579
20220414,16:00:00,1.0864900,1.0890600,1.0842600,1.0847400,192446
20220414,17:00:00,1.0847100,1.0848900,1.0756000,1.0770300,211637
20220414,18:00:00,1.0770200,1.0798500,1.0767000,1.0777800,172380
20220414,19:00:00,1.0777200,1.0817700,1.0772000,1.0796800,169182
20220414,20:00:00,1.0796800,1.0831600,1.0793000,1.0815800,101834
20220414,21:00:00,1.0815800,1.0827000,1.0807000,1.0824100,59653
20220414,22:00:00,1.0823300,1.0831200,1.0819000,1.0829800,45116
20220414,23:00:00,1.0830300,1.0835000,1.0822000,1.0824300,40295
20220415,00:00:00,1.0824200,1.0834400,1.0823000,1.0828000,20148
20220415,01:00:00,1.0827300,1.0830300,1.0822300,1.0826400,4979
20220415,02:00:00,1.0825600,1.0829000,1.0820000,1.0822000,31608
20220415,03:00:00,1.0822400,1.0826600,1.0812000,1.0819400,65408
20220415,04:00:00,1.0820300,1.0822000,1.0795300,1.0808500,52195
20220415,05:00:00,1.0808500,1.0815100,1.0802000,1.0810800,55063
20220415,06:00:00,1.0811200,1.0813900,1.0795000,1.0795700,52660
20220415,07:00:00,1.0797000,1.0807100,1.0795500,1.0802800,88080
20220415,08:00:00,1.0804200,1.0807000,1.0800000,1.0804300,28543
20220415,09:00:00,1.0803900,1.0808000,1.0802000,1.0805300,19317
20220415,10:00:00,1.0805000,1.0807800,1.0800000,1.0801200,22151
20220415,11:00:00,1.0801300,1.0812000,1.0801000,1.0811500,27965
20220415,12:00:00,1.0809600,1.0823900,1.0807000,1.0818100,32293
20220415,13:00:00,1.0817400,1.0820000,1.0810700,1.0813400,42198
20220415,14:00:00,1.0813300,1.0818000,1.0804000,1.0808100,88121
20220415,15:00:00,1.0807500,1.0815200,1.0803000,1.0813900,38127
20220415,16:00:00,1.0814700,1.0820000,1.0809000,1.0812000,40305
