<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220103,08:00:00,345.0100000,346.5000000,344.3000000,345.3800000,2288650
20220103,09:00:00,345.3800000,347.8100000,345.0300000,346.8200000,1689300
20220103,10:00:00,346.8000000,347.3800000,346.3000000,346.6200000,1366910
20220103,11:00:00,346.6200000,351.8800000,346.4000000,350.3300000,8459870
20220103,12:00:00,350.2400000,352.3300000,349.6900000,350.2300000,6045360
20220103,13:00:00,350.2700000,351.7200000,350.0400000,351.6000000,2510840
20220103,14:00:00,351.6000000,352.2500000,350.7000000,351.3500000,2484890
20220103,15:00:00,351.3500000,351.8000000,350.7700000,350.9000000,1433440
20220103,16:00:00,350.8200000,351.8300000,350.0100000,351.4400000,1825720
20220103,17:00:00,351.4200000,351.6500000,350.5100000,350.8400000,1265550
20220103,18:00:00,350.9000000,351.8600000,349.5100000,350.2800000,2915880
20220103,19:00:00,350.2900000,351.5000000,350.2900000,350.9000000,2545950
20220103,20:00:00,350.9000000,351.2200000,350.1000000,350.7900000,711580
20220103,21:00:00,350.7900000,351.1900000,350.5000000,351.1100000,802090
20220103,22:00:00,351.1300000,351.8300000,351.0200000,351.8300000,573120
20220103,23:00:00,351.8400000,352.9600000,351.7000000,352.8700000,1494540
20220104,00:00:00,352.7600000,353.8800000,352.4100000,353.7300000,1644290
20220104,08:00:00,353.9900000,357.9000000,353.6500000,356.5800000,3884200
20220104,09:00:00,356.5800000,358.1000000,356.5000000,357.2500000,1819120
20220104,10:00:00,357.2500000,357.5000000,355.1800000,356.3200000,2508060
20220104,11:00:00,356.1500000,356.1500000,350.6900000,352.4700000,8106510
20220104,12:00:00,352.4700000,353.0600000,348.3500000,351.0500000,8627850
20220104,13:00:00,351.0500000,354.2000000,350.7500000,353.6700000,4999870
20220104,14:00:00,353.7400000,355.1700000,353.2000000,354.2200000,5330210
20220104,15:00:00,354.3300000,355.0700000,353.6500000,353.8500000,2519290
20220104,16:00:00,353.9900000,354.0900000,351.1000000,352.3400000,3953770
20220104,17:00:00,352.3400000,353.6700000,352.0400000,353.1500000,1423830
20220104,18:00:00,353.1500000,354.0000000,351.9000000,352.6400000,3090650
20220104,19:00:00,352.6900000,352.9300000,351.6200000,352.7000000,2808680
20220104,20:00:00,352.2000000,352.9100000,351.4900000,352.5200000,1033920
20220104,21:00:00,352.5000000,353.7400000,352.4000000,353.1700000,1116170
20220104,22:00:00,353.0300000,353.6000000,352.0100000,352.5800000,620510
20220104,23:00:00,352.5200000,352.9000000,351.9500000,352.7700000,429950
20220105,00:00:00,352.7600000,353.1500000,352.2100000,352.5500000,420920
20220105,08:00:00,351.9000000,352.2600000,349.7500000,350.3000000,1994230
20220105,09:00:00,350.2000000,350.7900000,349.0600000,350.5700000,1015960
20220105,10:00:00,350.5700000,351.5000000,350.3200000,350.8800000,737790
20220105,11:00:00,350.8800000,353.5000000,350.0000000,352.5800000,2455820
20220105,12:00:00,352.5800000,353.0000000,350.0100000,351.9100000,2873490
20220105,13:00:00,351.9300000,352.1900000,350.5400000,350.9900000,1408750
20220105,14:00:00,350.9800000,351.4500000,350.0000000,350.0900000,1998550
20220105,15:00:00,350.0700000,350.1500000,346.5000000,346.6500000,10187330
20220105,16:00:00,346.6000000,347.7000000,346.3600000,347.3300000,2756190
20220105,17:00:00,347.3300000,348.7500000,347.1000000,348.0200000,2144350
20220105,18:00:00,348.0600000,348.1500000,344.4000000,344.8500000,9577450
20220105,19:00:00,344.8000000,345.8700000,343.4100000,345.2000000,7031950
20220105,20:00:00,344.2500000,344.9000000,342.5000000,343.1900000,4598560
20220105,21:00:00,343.2000000,343.3000000,340.0000000,341.5400000,4737630
20220105,22:00:00,341.5300000,342.5900000,339.8500000,339.8500000,4280910
20220105,23:00:00,339.8500000,340.6500000,331.5500000,334.5600000,13702270
20220106,00:00:00,334.5600000,339.8000000,334.4000000,335.0000000,9468210
20220106,08:00:00,335.8000000,340.4800000,330.1100000,340.0400000,8361650
20220106,09:00:00,340.1800000,342.0000000,338.7800000,338.9900000,4414280
20220106,10:00:00,338.9900000,341.4000000,338.1000000,339.7300000,3329310
20220106,11:00:00,339.8700000,343.4300000,337.5800000,340.9300000,8568360
20220106,12:00:00,340.9600000,341.5000000,335.6200000,338.0000000,11008500
20220106,13:00:00,338.0000000,341.1500000,337.5900000,340.7700000,5746730
20220106,14:00:00,340.9600000,343.0000000,340.3500000,341.6400000,4241260
20220106,15:00:00,341.7100000,342.8400000,340.7600000,341.3400000,2575390
20220106,16:00:00,341.4000000,342.6000000,341.4000000,342.1500000,1663310
20220106,17:00:00,342.1400000,344.3300000,341.5000000,343.8000000,5485660
20220106,18:00:00,343.7400000,346.4000000,342.8900000,345.4200000,6756150
20220106,19:00:00,345.4300000,345.9000000,343.1300000,343.9800000,5784130
20220106,20:00:00,343.8700000,344.9000000,343.5600000,344.8100000,801170
20220106,21:00:00,344.8800000,345.8700000,344.3400000,345.1700000,876860
20220106,22:00:00,345.1700000,345.3800000,344.3000000,344.7400000,558850
20220106,23:00:00,344.7400000,346.8000000,344.0100000,346.8000000,2483090
20220107,00:00:00,346.6900000,347.6700000,345.9000000,346.1300000,1917770
20220110,08:00:00,348.3300000,350.6700000,347.8300000,350.2200000,2727630
