<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220304,00:05:00,1.3338000,1.3344000,1.3336000,1.3343000,3694
20220304,00:10:00,1.3343000,1.3346000,1.3342000,1.3345000,2093
20220304,00:15:00,1.3344000,1.3347000,1.3343000,1.3346000,1414
20220304,00:20:00,1.3346000,1.3347000,1.3343000,1.3345000,2398
20220304,00:25:00,1.3346000,1.3348000,1.3342000,1.3346000,1662
20220304,00:30:00,1.3346000,1.3347000,1.3343000,1.3346000,1290
20220304,00:35:00,1.3347000,1.3348000,1.3343000,1.3346000,1277
20220304,00:40:00,1.3346000,1.3347000,1.3341000,1.3343000,1777
20220304,00:45:00,1.3344000,1.3348000,1.3342000,1.3347000,1160
20220304,00:50:00,1.3347000,1.3348000,1.3344000,1.3348000,1680
20220304,00:55:00,1.3346000,1.3349000,1.3344000,1.3348000,1144
20220304,01:00:00,1.3349000,1.3349000,1.3341000,1.3345000,1316
20220304,01:05:00,1.3347000,1.3347000,1.3342000,1.3347000,61
20220304,01:10:00,1.3347000,1.3349000,1.3342000,1.3345000,109
20220304,01:15:00,1.3346000,1.3348000,1.3342000,1.3346000,414
20220304,01:20:00,1.3346000,1.3349000,1.3344000,1.3347000,268
20220304,01:25:00,1.3345000,1.3350000,1.3343000,1.3347000,237
20220304,01:30:00,1.3347000,1.3355000,1.3343000,1.3350000,1047
20220304,01:35:00,1.3345000,1.3354000,1.3341000,1.3343000,1408
20220304,01:40:00,1.3343000,1.3346000,1.3341000,1.3343000,479
20220304,01:45:00,1.3344000,1.3346000,1.3341000,1.3343000,375
20220304,01:50:00,1.3343000,1.3349000,1.3342000,1.3344000,414
20220304,01:55:00,1.3343000,1.3349000,1.3341000,1.3346000,623
20220304,02:00:00,1.3344000,1.3346000,1.3341000,1.3343000,331
20220304,02:05:00,1.3342000,1.3346000,1.3340000,1.3344000,2427
20220304,02:10:00,1.3344000,1.3346000,1.3342000,1.3344000,1981
20220304,02:15:00,1.3344000,1.3347000,1.3343000,1.3345000,1586
20220304,02:20:00,1.3345000,1.3348000,1.3343000,1.3348000,1687
20220304,02:25:00,1.3347000,1.3348000,1.3344000,1.3346000,2151
20220304,02:30:00,1.3345000,1.3346000,1.3343000,1.3346000,1732
20220304,02:35:00,1.3346000,1.3347000,1.3343000,1.3347000,1573
20220304,02:40:00,1.3347000,1.3348000,1.3344000,1.3347000,1367
20220304,02:45:00,1.3347000,1.3349000,1.3345000,1.3348000,1463
20220304,02:50:00,1.3348000,1.3349000,1.3345000,1.3348000,1255
20220304,02:55:00,1.3349000,1.3349000,1.3345000,1.3347000,1089
20220304,03:00:00,1.3347000,1.3351000,1.3345000,1.3350000,1318
20220304,03:05:00,1.3350000,1.3350000,1.3343000,1.3345000,3597
20220304,03:10:00,1.3346000,1.3346000,1.3331000,1.3333000,9258
20220304,03:15:00,1.3333000,1.3338000,1.3331000,1.3336000,13878
20220304,03:20:00,1.3336000,1.3337000,1.3327000,1.3331000,11288
20220304,03:25:00,1.3331000,1.3337000,1.3327000,1.3328000,11089
20220304,03:30:00,1.3328000,1.3335000,1.3323000,1.3333000,11490
20220304,03:35:00,1.3333000,1.3337000,1.3331000,1.3334000,10238
20220304,03:40:00,1.3334000,1.3337000,1.3322000,1.3325000,16974
20220304,03:45:00,1.3325000,1.3330000,1.3321000,1.3322000,13757
20220304,03:50:00,1.3322000,1.3329000,1.3319000,1.3324000,13158
20220304,03:55:00,1.3325000,1.3329000,1.3322000,1.3324000,12147
20220304,04:00:00,1.3324000,1.3325000,1.3316000,1.3323000,9928
